source,make,model,year,price,mileage,location,listing_date,link_to_buyer,link_to_image
kijijiauto,Ford,Mustang,2023,60400,2050,"Oakville, ON",2024-03-11,https://www.kijijiautos.ca/vip/29641601,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,Toyota,,2017,45888,80100,"Ajax, ON",2024-03-11,https://www.kijijiautos.ca/vip/18775668,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,Jeep,Grand Cherokee,2022,44988,22745,"Ajax, ON",2024-03-11,https://www.kijijiautos.ca/vip/30096982,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,RAM,,2022,64025,4851,"Toronto, ON",2024-03-11,https://www.kijijiautos.ca/vip/24073572,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,Mercedes-Benz,GLE,2018,44995,38943,"North York, ON",2024-03-11,https://www.kijijiautos.ca/vip/25109168,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,Hyundai,Elantra,2017,11999,84648,"Burlington, ON",2024-03-11,https://www.kijijiautos.ca/vip/29942576,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,BMW,X5,2011,12600,235000,"-, ON",2024-03-11,https://www.kijijiautos.ca/vip/31448449,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,Jaguar,F-Pace,2018,23899,144399,"Cambridge, ON",2024-03-11,https://www.kijijiautos.ca/vip/31358441,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,Audi,Q3,2018,25800,126081,"Toronto, ON",2024-03-11,https://www.kijijiautos.ca/vip/25672540,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,BMW,X4,2018,42995,64373,"North York, ON",2024-03-11,https://www.kijijiautos.ca/vip/24601074,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,Ford,Mustang,2017,25000,42313,"Waterloo, ON",2024-03-11,https://www.kijijiautos.ca/vip/24124886,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,Subaru,Forester,2018,29198,86394,"North York, ON",2024-03-11,https://www.kijijiautos.ca/vip/26671762,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,Ford,Explorer,2017,29995,55000,"Kitchener, ON",2024-03-11,https://www.kijijiautos.ca/vip/25955976,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,Audi,SQ5,2018,37800,120203,"Toronto, ON",2024-03-11,https://www.kijijiautos.ca/vip/25613953,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,Toyota,RAV4,2017,21900,240000,"Toronto, ON",2024-03-11,https://www.kijijiautos.ca/vip/26384127,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,Ford,Bronco,2022,56987,14525,"Toronto, ON",2024-03-11,https://www.kijijiautos.ca/vip/25540389,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,Honda,CR-V,2022,37515,24090,"Mono, ON",2024-03-11,https://www.kijijiautos.ca/vip/31357499,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,Toyota,Sienna,2020,35888,134903,"Markham, ON",2024-03-11,https://www.kijijiautos.ca/vip/31453869,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,BMW,7 Series,2018,42999,112977,"Burlington, ON",2024-03-11,https://www.kijijiautos.ca/vip/26401356,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,Chevrolet,,2019,40888,91068,"Brampton, ON",2024-03-11,https://www.kijijiautos.ca/vip/29644100,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,Audi,S3,2020,40995,41744,"North York, ON",2024-03-11,https://www.kijijiautos.ca/vip/23581429,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,Jaguar,F-Pace,2019,28877,139787,"Port Perry, ON",2024-03-11,https://www.kijijiautos.ca/vip/26001831,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,RAM,ProMaster City,2017,22800,132846,"York, ON",2024-03-11,https://www.kijijiautos.ca/vip/28994864,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,Chevrolet,,2017,27975,179000,"St. Catharines, ON",2024-03-11,https://www.kijijiautos.ca/vip/25177008,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,Mercedes-Benz,A-Class,2020,32888,56000,"Woodbridge, ON",2024-03-11,https://www.kijijiautos.ca/vip/29644669,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
